school,journal,year,author,paper_key,tags,affiliation
MIT,MS,2022,David Simchi-Levi,doi:10.1287/mnsc.2021.4129,engineering,"MIT Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Boston U (Questrom),MS,2022,Keith Marzilli Ericson,doi:10.1287/mnsc.2021.4091,economics,"National Bureau of Economic Research, Cambridge, Massachusetts 02138; ; Questrom School of Business, Boston University, Boston, Massachusetts 02215;"
Boston U (Questrom),MS,2022,James B. Rebitzer,doi:10.1287/mnsc.2021.4091,economics,"National Bureau of Economic Research, Cambridge, Massachusetts 02138; ; Questrom School of Business, Boston University, Boston, Massachusetts 02215;"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.bestaeaward.v69.n12,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4947,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4583,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Michigan (Ross),MS,2023,Murat Köksalan,doi:10.1287/mnsc.2023.4712,engineering,"Industrial Engineering, Middle East Technical University, Ankara 06800, Turkey; ; Ross School of Business, University of Michigan, Ann Arbor, Michigan 48109;"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.editorial.v69.n12,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4644,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering, and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4704,engineering,"Institute for Data, Systems, and Society, Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2022.4382,engineering,"Department of Civil and Environmental Engineering, Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139"
MIT,MS,2023,David Simchi-Levi,doi:10.1287/mnsc.2023.4755,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering and Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
MIT,MS,2023,Manish Raghavan,doi:10.1287/mnsc.2022.03683,engineering|computer_science,"Sloan School of Management, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142; ; Department of Electrical Engineering and Computer Science, Massachusetts Institute of Technology, Cambridge, Massachusetts 02142"
Boston U (Questrom),MS,2024,A. Max Reppen,doi:10.1287/mnsc.2023.4798,engineering,"Questrom School of Business, Boston University, Boston, Massachusetts 02215; ; Rafik B. Hariri Institute for Computing and Computational Science & Engineering, Boston, Massachusetts 02215"
MIT,MS,2024,David Simchi-Levi,doi:10.1287/mnsc.2023.4969,engineering,"Institute for Data, Systems, and Society, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139; ; Department of Civil and Environmental Engineering, Cambridge, Massachusetts 02139; ; Operations Research Center, Massachusetts Institute of Technology, Cambridge, Massachusetts 02139;"
Wharton (UPenn),MS,2024,Zhimei Ren,doi:10.1287/mnsc.2023.4895,statistics,"Department of Statistics and Data Science, The Wharton School, University of Pennsylvania, Philadelphia, Pennsylvania 19104;"
NYU (Stern),MS,2024,Zhengyuan Zhou,doi:10.1287/mnsc.2023.4895,statistics,"Department of Technology, Operation and Statistics, Stern School of Business, New York University, New York, New York 10012"
